CHR,featureChunkFile
1,exonlist_sorted.chr1.chunk000.gz
1,exonlist_sorted.chr1.chunk001.gz
1,exonlist_sorted.chr1.chunk002.gz
1,exonlist_sorted.chr1.chunk003.gz
1,exonlist_sorted.chr1.chunk004.gz
1,exonlist_sorted.chr1.chunk005.gz
1,exonlist_sorted.chr1.chunk006.gz
1,exonlist_sorted.chr1.chunk007.gz
1,exonlist_sorted.chr1.chunk008.gz
1,exonlist_sorted.chr1.chunk009.gz
1,exonlist_sorted.chr1.chunk010.gz
1,exonlist_sorted.chr1.chunk011.gz
1,exonlist_sorted.chr1.chunk012.gz
1,exonlist_sorted.chr1.chunk013.gz
1,exonlist_sorted.chr1.chunk014.gz
1,exonlist_sorted.chr1.chunk015.gz
1,exonlist_sorted.chr1.chunk016.gz
1,exonlist_sorted.chr1.chunk017.gz
1,exonlist_sorted.chr1.chunk018.gz
1,exonlist_sorted.chr1.chunk019.gz
1,exonlist_sorted.chr1.chunk020.gz
1,exonlist_sorted.chr1.chunk021.gz
1,exonlist_sorted.chr1.chunk022.gz
1,exonlist_sorted.chr1.chunk023.gz
1,exonlist_sorted.chr1.chunk024.gz
1,exonlist_sorted.chr1.chunk025.gz
1,exonlist_sorted.chr1.chunk026.gz
1,exonlist_sorted.chr1.chunk027.gz
1,exonlist_sorted.chr1.chunk028.gz
1,exonlist_sorted.chr1.chunk029.gz
1,exonlist_sorted.chr1.chunk030.gz
1,exonlist_sorted.chr1.chunk031.gz
1,exonlist_sorted.chr1.chunk032.gz
1,exonlist_sorted.chr1.chunk033.gz
1,exonlist_sorted.chr1.chunk034.gz
1,exonlist_sorted.chr1.chunk035.gz
1,exonlist_sorted.chr1.chunk036.gz
1,exonlist_sorted.chr1.chunk037.gz
1,exonlist_sorted.chr1.chunk038.gz
1,exonlist_sorted.chr1.chunk039.gz
1,exonlist_sorted.chr1.chunk040.gz
1,exonlist_sorted.chr1.chunk041.gz
1,exonlist_sorted.chr1.chunk042.gz
1,exonlist_sorted.chr1.chunk043.gz
1,exonlist_sorted.chr1.chunk044.gz
1,exonlist_sorted.chr1.chunk045.gz
1,exonlist_sorted.chr1.chunk046.gz
1,exonlist_sorted.chr1.chunk047.gz
1,exonlist_sorted.chr1.chunk048.gz
1,exonlist_sorted.chr1.chunk049.gz
1,exonlist_sorted.chr1.chunk050.gz
1,exonlist_sorted.chr1.chunk051.gz
1,exonlist_sorted.chr1.chunk052.gz
1,exonlist_sorted.chr1.chunk053.gz
1,exonlist_sorted.chr1.chunk054.gz
1,exonlist_sorted.chr1.chunk055.gz
1,exonlist_sorted.chr1.chunk056.gz
1,exonlist_sorted.chr1.chunk057.gz
1,exonlist_sorted.chr1.chunk058.gz
1,exonlist_sorted.chr1.chunk059.gz
1,exonlist_sorted.chr1.chunk060.gz
1,exonlist_sorted.chr1.chunk061.gz
1,exonlist_sorted.chr1.chunk062.gz
1,exonlist_sorted.chr1.chunk063.gz
1,exonlist_sorted.chr1.chunk064.gz
1,exonlist_sorted.chr1.chunk065.gz
1,exonlist_sorted.chr1.chunk066.gz
1,exonlist_sorted.chr1.chunk067.gz
1,exonlist_sorted.chr1.chunk068.gz
1,exonlist_sorted.chr1.chunk069.gz
1,exonlist_sorted.chr1.chunk070.gz
1,exonlist_sorted.chr1.chunk071.gz
1,exonlist_sorted.chr1.chunk072.gz
1,exonlist_sorted.chr1.chunk073.gz
1,exonlist_sorted.chr1.chunk074.gz
1,exonlist_sorted.chr1.chunk075.gz
1,exonlist_sorted.chr1.chunk076.gz
1,exonlist_sorted.chr1.chunk077.gz
1,exonlist_sorted.chr1.chunk078.gz
1,exonlist_sorted.chr1.chunk079.gz
1,exonlist_sorted.chr1.chunk080.gz
1,exonlist_sorted.chr1.chunk081.gz
1,exonlist_sorted.chr1.chunk082.gz
1,exonlist_sorted.chr1.chunk083.gz
1,exonlist_sorted.chr1.chunk084.gz
1,exonlist_sorted.chr1.chunk085.gz
1,exonlist_sorted.chr1.chunk086.gz
1,exonlist_sorted.chr1.chunk087.gz
1,exonlist_sorted.chr1.chunk088.gz
1,exonlist_sorted.chr1.chunk089.gz
1,exonlist_sorted.chr1.chunk090.gz
1,exonlist_sorted.chr1.chunk091.gz
1,exonlist_sorted.chr1.chunk092.gz
1,exonlist_sorted.chr1.chunk093.gz
1,exonlist_sorted.chr1.chunk094.gz
1,exonlist_sorted.chr1.chunk095.gz
1,exonlist_sorted.chr1.chunk096.gz
1,exonlist_sorted.chr1.chunk097.gz
1,exonlist_sorted.chr1.chunk098.gz
1,exonlist_sorted.chr1.chunk099.gz
1,exonlist_sorted.chr1.chunk100.gz
1,exonlist_sorted.chr1.chunk101.gz
1,exonlist_sorted.chr1.chunk102.gz
1,exonlist_sorted.chr1.chunk103.gz
1,exonlist_sorted.chr1.chunk104.gz
1,exonlist_sorted.chr1.chunk105.gz
1,exonlist_sorted.chr1.chunk106.gz
1,exonlist_sorted.chr1.chunk107.gz
1,exonlist_sorted.chr1.chunk108.gz
1,exonlist_sorted.chr1.chunk109.gz
1,exonlist_sorted.chr1.chunk110.gz
1,exonlist_sorted.chr1.chunk111.gz
2,exonlist_sorted.chr2.chunk000.gz
2,exonlist_sorted.chr2.chunk001.gz
2,exonlist_sorted.chr2.chunk002.gz
2,exonlist_sorted.chr2.chunk003.gz
2,exonlist_sorted.chr2.chunk004.gz
2,exonlist_sorted.chr2.chunk005.gz
2,exonlist_sorted.chr2.chunk006.gz
2,exonlist_sorted.chr2.chunk007.gz
2,exonlist_sorted.chr2.chunk008.gz
2,exonlist_sorted.chr2.chunk009.gz
2,exonlist_sorted.chr2.chunk010.gz
2,exonlist_sorted.chr2.chunk011.gz
2,exonlist_sorted.chr2.chunk012.gz
2,exonlist_sorted.chr2.chunk013.gz
2,exonlist_sorted.chr2.chunk014.gz
2,exonlist_sorted.chr2.chunk015.gz
2,exonlist_sorted.chr2.chunk016.gz
2,exonlist_sorted.chr2.chunk017.gz
2,exonlist_sorted.chr2.chunk018.gz
2,exonlist_sorted.chr2.chunk019.gz
2,exonlist_sorted.chr2.chunk020.gz
2,exonlist_sorted.chr2.chunk021.gz
2,exonlist_sorted.chr2.chunk022.gz
2,exonlist_sorted.chr2.chunk023.gz
2,exonlist_sorted.chr2.chunk024.gz
2,exonlist_sorted.chr2.chunk025.gz
2,exonlist_sorted.chr2.chunk026.gz
2,exonlist_sorted.chr2.chunk027.gz
2,exonlist_sorted.chr2.chunk028.gz
2,exonlist_sorted.chr2.chunk029.gz
2,exonlist_sorted.chr2.chunk030.gz
2,exonlist_sorted.chr2.chunk031.gz
2,exonlist_sorted.chr2.chunk032.gz
2,exonlist_sorted.chr2.chunk033.gz
2,exonlist_sorted.chr2.chunk034.gz
2,exonlist_sorted.chr2.chunk035.gz
2,exonlist_sorted.chr2.chunk036.gz
2,exonlist_sorted.chr2.chunk037.gz
2,exonlist_sorted.chr2.chunk038.gz
2,exonlist_sorted.chr2.chunk039.gz
2,exonlist_sorted.chr2.chunk040.gz
2,exonlist_sorted.chr2.chunk041.gz
2,exonlist_sorted.chr2.chunk042.gz
2,exonlist_sorted.chr2.chunk043.gz
2,exonlist_sorted.chr2.chunk044.gz
2,exonlist_sorted.chr2.chunk045.gz
2,exonlist_sorted.chr2.chunk046.gz
2,exonlist_sorted.chr2.chunk047.gz
2,exonlist_sorted.chr2.chunk048.gz
2,exonlist_sorted.chr2.chunk049.gz
2,exonlist_sorted.chr2.chunk050.gz
2,exonlist_sorted.chr2.chunk051.gz
2,exonlist_sorted.chr2.chunk052.gz
2,exonlist_sorted.chr2.chunk053.gz
2,exonlist_sorted.chr2.chunk054.gz
2,exonlist_sorted.chr2.chunk055.gz
2,exonlist_sorted.chr2.chunk056.gz
2,exonlist_sorted.chr2.chunk057.gz
2,exonlist_sorted.chr2.chunk058.gz
2,exonlist_sorted.chr2.chunk059.gz
2,exonlist_sorted.chr2.chunk060.gz
2,exonlist_sorted.chr2.chunk061.gz
2,exonlist_sorted.chr2.chunk062.gz
2,exonlist_sorted.chr2.chunk063.gz
2,exonlist_sorted.chr2.chunk064.gz
2,exonlist_sorted.chr2.chunk065.gz
2,exonlist_sorted.chr2.chunk066.gz
2,exonlist_sorted.chr2.chunk067.gz
2,exonlist_sorted.chr2.chunk068.gz
2,exonlist_sorted.chr2.chunk069.gz
2,exonlist_sorted.chr2.chunk070.gz
2,exonlist_sorted.chr2.chunk071.gz
2,exonlist_sorted.chr2.chunk072.gz
2,exonlist_sorted.chr2.chunk073.gz
2,exonlist_sorted.chr2.chunk074.gz
2,exonlist_sorted.chr2.chunk075.gz
2,exonlist_sorted.chr2.chunk076.gz
2,exonlist_sorted.chr2.chunk077.gz
2,exonlist_sorted.chr2.chunk078.gz
2,exonlist_sorted.chr2.chunk079.gz
2,exonlist_sorted.chr2.chunk080.gz
2,exonlist_sorted.chr2.chunk081.gz
2,exonlist_sorted.chr2.chunk082.gz
2,exonlist_sorted.chr2.chunk083.gz
2,exonlist_sorted.chr2.chunk084.gz
2,exonlist_sorted.chr2.chunk085.gz
2,exonlist_sorted.chr2.chunk086.gz
2,exonlist_sorted.chr2.chunk087.gz
2,exonlist_sorted.chr2.chunk088.gz
2,exonlist_sorted.chr2.chunk089.gz
3,exonlist_sorted.chr3.chunk000.gz
3,exonlist_sorted.chr3.chunk001.gz
3,exonlist_sorted.chr3.chunk002.gz
3,exonlist_sorted.chr3.chunk003.gz
3,exonlist_sorted.chr3.chunk004.gz
3,exonlist_sorted.chr3.chunk005.gz
3,exonlist_sorted.chr3.chunk006.gz
3,exonlist_sorted.chr3.chunk007.gz
3,exonlist_sorted.chr3.chunk008.gz
3,exonlist_sorted.chr3.chunk009.gz
3,exonlist_sorted.chr3.chunk010.gz
3,exonlist_sorted.chr3.chunk011.gz
3,exonlist_sorted.chr3.chunk012.gz
3,exonlist_sorted.chr3.chunk013.gz
3,exonlist_sorted.chr3.chunk014.gz
3,exonlist_sorted.chr3.chunk015.gz
3,exonlist_sorted.chr3.chunk016.gz
3,exonlist_sorted.chr3.chunk017.gz
3,exonlist_sorted.chr3.chunk018.gz
3,exonlist_sorted.chr3.chunk019.gz
3,exonlist_sorted.chr3.chunk020.gz
3,exonlist_sorted.chr3.chunk021.gz
3,exonlist_sorted.chr3.chunk022.gz
3,exonlist_sorted.chr3.chunk023.gz
3,exonlist_sorted.chr3.chunk024.gz
3,exonlist_sorted.chr3.chunk025.gz
3,exonlist_sorted.chr3.chunk026.gz
3,exonlist_sorted.chr3.chunk027.gz
3,exonlist_sorted.chr3.chunk028.gz
3,exonlist_sorted.chr3.chunk029.gz
3,exonlist_sorted.chr3.chunk030.gz
3,exonlist_sorted.chr3.chunk031.gz
3,exonlist_sorted.chr3.chunk032.gz
3,exonlist_sorted.chr3.chunk033.gz
3,exonlist_sorted.chr3.chunk034.gz
3,exonlist_sorted.chr3.chunk035.gz
3,exonlist_sorted.chr3.chunk036.gz
3,exonlist_sorted.chr3.chunk037.gz
3,exonlist_sorted.chr3.chunk038.gz
3,exonlist_sorted.chr3.chunk039.gz
3,exonlist_sorted.chr3.chunk040.gz
3,exonlist_sorted.chr3.chunk041.gz
3,exonlist_sorted.chr3.chunk042.gz
3,exonlist_sorted.chr3.chunk043.gz
3,exonlist_sorted.chr3.chunk044.gz
3,exonlist_sorted.chr3.chunk045.gz
3,exonlist_sorted.chr3.chunk046.gz
3,exonlist_sorted.chr3.chunk047.gz
3,exonlist_sorted.chr3.chunk048.gz
3,exonlist_sorted.chr3.chunk049.gz
3,exonlist_sorted.chr3.chunk050.gz
3,exonlist_sorted.chr3.chunk051.gz
3,exonlist_sorted.chr3.chunk052.gz
3,exonlist_sorted.chr3.chunk053.gz
3,exonlist_sorted.chr3.chunk054.gz
3,exonlist_sorted.chr3.chunk055.gz
3,exonlist_sorted.chr3.chunk056.gz
3,exonlist_sorted.chr3.chunk057.gz
3,exonlist_sorted.chr3.chunk058.gz
3,exonlist_sorted.chr3.chunk059.gz
3,exonlist_sorted.chr3.chunk060.gz
3,exonlist_sorted.chr3.chunk061.gz
3,exonlist_sorted.chr3.chunk062.gz
3,exonlist_sorted.chr3.chunk063.gz
3,exonlist_sorted.chr3.chunk064.gz
3,exonlist_sorted.chr3.chunk065.gz
3,exonlist_sorted.chr3.chunk066.gz
3,exonlist_sorted.chr3.chunk067.gz
3,exonlist_sorted.chr3.chunk068.gz
3,exonlist_sorted.chr3.chunk069.gz
3,exonlist_sorted.chr3.chunk070.gz
3,exonlist_sorted.chr3.chunk071.gz
3,exonlist_sorted.chr3.chunk072.gz
3,exonlist_sorted.chr3.chunk073.gz
3,exonlist_sorted.chr3.chunk074.gz
4,exonlist_sorted.chr4.chunk000.gz
4,exonlist_sorted.chr4.chunk001.gz
4,exonlist_sorted.chr4.chunk002.gz
4,exonlist_sorted.chr4.chunk003.gz
4,exonlist_sorted.chr4.chunk004.gz
4,exonlist_sorted.chr4.chunk005.gz
4,exonlist_sorted.chr4.chunk006.gz
4,exonlist_sorted.chr4.chunk007.gz
4,exonlist_sorted.chr4.chunk008.gz
4,exonlist_sorted.chr4.chunk009.gz
4,exonlist_sorted.chr4.chunk010.gz
4,exonlist_sorted.chr4.chunk011.gz
4,exonlist_sorted.chr4.chunk012.gz
4,exonlist_sorted.chr4.chunk013.gz
4,exonlist_sorted.chr4.chunk014.gz
4,exonlist_sorted.chr4.chunk015.gz
4,exonlist_sorted.chr4.chunk016.gz
4,exonlist_sorted.chr4.chunk017.gz
4,exonlist_sorted.chr4.chunk018.gz
4,exonlist_sorted.chr4.chunk019.gz
4,exonlist_sorted.chr4.chunk020.gz
4,exonlist_sorted.chr4.chunk021.gz
4,exonlist_sorted.chr4.chunk022.gz
4,exonlist_sorted.chr4.chunk023.gz
4,exonlist_sorted.chr4.chunk024.gz
4,exonlist_sorted.chr4.chunk025.gz
4,exonlist_sorted.chr4.chunk026.gz
4,exonlist_sorted.chr4.chunk027.gz
4,exonlist_sorted.chr4.chunk028.gz
4,exonlist_sorted.chr4.chunk029.gz
4,exonlist_sorted.chr4.chunk030.gz
4,exonlist_sorted.chr4.chunk031.gz
4,exonlist_sorted.chr4.chunk032.gz
4,exonlist_sorted.chr4.chunk033.gz
4,exonlist_sorted.chr4.chunk034.gz
4,exonlist_sorted.chr4.chunk035.gz
4,exonlist_sorted.chr4.chunk036.gz
4,exonlist_sorted.chr4.chunk037.gz
4,exonlist_sorted.chr4.chunk038.gz
4,exonlist_sorted.chr4.chunk039.gz
4,exonlist_sorted.chr4.chunk040.gz
4,exonlist_sorted.chr4.chunk041.gz
4,exonlist_sorted.chr4.chunk042.gz
4,exonlist_sorted.chr4.chunk043.gz
4,exonlist_sorted.chr4.chunk044.gz
4,exonlist_sorted.chr4.chunk045.gz
4,exonlist_sorted.chr4.chunk046.gz
5,exonlist_sorted.chr5.chunk000.gz
5,exonlist_sorted.chr5.chunk001.gz
5,exonlist_sorted.chr5.chunk002.gz
5,exonlist_sorted.chr5.chunk003.gz
5,exonlist_sorted.chr5.chunk004.gz
5,exonlist_sorted.chr5.chunk005.gz
5,exonlist_sorted.chr5.chunk006.gz
5,exonlist_sorted.chr5.chunk007.gz
5,exonlist_sorted.chr5.chunk008.gz
5,exonlist_sorted.chr5.chunk009.gz
5,exonlist_sorted.chr5.chunk010.gz
5,exonlist_sorted.chr5.chunk011.gz
5,exonlist_sorted.chr5.chunk012.gz
5,exonlist_sorted.chr5.chunk013.gz
5,exonlist_sorted.chr5.chunk014.gz
5,exonlist_sorted.chr5.chunk015.gz
5,exonlist_sorted.chr5.chunk016.gz
5,exonlist_sorted.chr5.chunk017.gz
5,exonlist_sorted.chr5.chunk018.gz
5,exonlist_sorted.chr5.chunk019.gz
5,exonlist_sorted.chr5.chunk020.gz
5,exonlist_sorted.chr5.chunk021.gz
5,exonlist_sorted.chr5.chunk022.gz
5,exonlist_sorted.chr5.chunk023.gz
5,exonlist_sorted.chr5.chunk024.gz
5,exonlist_sorted.chr5.chunk025.gz
5,exonlist_sorted.chr5.chunk026.gz
5,exonlist_sorted.chr5.chunk027.gz
5,exonlist_sorted.chr5.chunk028.gz
5,exonlist_sorted.chr5.chunk029.gz
5,exonlist_sorted.chr5.chunk030.gz
5,exonlist_sorted.chr5.chunk031.gz
5,exonlist_sorted.chr5.chunk032.gz
5,exonlist_sorted.chr5.chunk033.gz
5,exonlist_sorted.chr5.chunk034.gz
5,exonlist_sorted.chr5.chunk035.gz
5,exonlist_sorted.chr5.chunk036.gz
5,exonlist_sorted.chr5.chunk037.gz
5,exonlist_sorted.chr5.chunk038.gz
5,exonlist_sorted.chr5.chunk039.gz
5,exonlist_sorted.chr5.chunk040.gz
5,exonlist_sorted.chr5.chunk041.gz
5,exonlist_sorted.chr5.chunk042.gz
5,exonlist_sorted.chr5.chunk043.gz
5,exonlist_sorted.chr5.chunk044.gz
5,exonlist_sorted.chr5.chunk045.gz
5,exonlist_sorted.chr5.chunk046.gz
5,exonlist_sorted.chr5.chunk047.gz
5,exonlist_sorted.chr5.chunk048.gz
5,exonlist_sorted.chr5.chunk049.gz
5,exonlist_sorted.chr5.chunk050.gz
5,exonlist_sorted.chr5.chunk051.gz
5,exonlist_sorted.chr5.chunk052.gz
5,exonlist_sorted.chr5.chunk053.gz
6,exonlist_sorted.chr6.chunk000.gz
6,exonlist_sorted.chr6.chunk001.gz
6,exonlist_sorted.chr6.chunk002.gz
6,exonlist_sorted.chr6.chunk003.gz
6,exonlist_sorted.chr6.chunk004.gz
6,exonlist_sorted.chr6.chunk005.gz
6,exonlist_sorted.chr6.chunk006.gz
6,exonlist_sorted.chr6.chunk007.gz
6,exonlist_sorted.chr6.chunk008.gz
6,exonlist_sorted.chr6.chunk009.gz
6,exonlist_sorted.chr6.chunk010.gz
6,exonlist_sorted.chr6.chunk011.gz
6,exonlist_sorted.chr6.chunk012.gz
6,exonlist_sorted.chr6.chunk013.gz
6,exonlist_sorted.chr6.chunk014.gz
6,exonlist_sorted.chr6.chunk015.gz
6,exonlist_sorted.chr6.chunk016.gz
6,exonlist_sorted.chr6.chunk017.gz
6,exonlist_sorted.chr6.chunk018.gz
6,exonlist_sorted.chr6.chunk019.gz
6,exonlist_sorted.chr6.chunk020.gz
6,exonlist_sorted.chr6.chunk021.gz
6,exonlist_sorted.chr6.chunk022.gz
6,exonlist_sorted.chr6.chunk023.gz
6,exonlist_sorted.chr6.chunk024.gz
6,exonlist_sorted.chr6.chunk025.gz
6,exonlist_sorted.chr6.chunk026.gz
6,exonlist_sorted.chr6.chunk027.gz
6,exonlist_sorted.chr6.chunk028.gz
6,exonlist_sorted.chr6.chunk029.gz
6,exonlist_sorted.chr6.chunk030.gz
6,exonlist_sorted.chr6.chunk031.gz
6,exonlist_sorted.chr6.chunk032.gz
6,exonlist_sorted.chr6.chunk033.gz
6,exonlist_sorted.chr6.chunk034.gz
6,exonlist_sorted.chr6.chunk035.gz
6,exonlist_sorted.chr6.chunk036.gz
6,exonlist_sorted.chr6.chunk037.gz
6,exonlist_sorted.chr6.chunk038.gz
6,exonlist_sorted.chr6.chunk039.gz
6,exonlist_sorted.chr6.chunk040.gz
6,exonlist_sorted.chr6.chunk041.gz
6,exonlist_sorted.chr6.chunk042.gz
6,exonlist_sorted.chr6.chunk043.gz
6,exonlist_sorted.chr6.chunk044.gz
6,exonlist_sorted.chr6.chunk045.gz
6,exonlist_sorted.chr6.chunk046.gz
6,exonlist_sorted.chr6.chunk047.gz
6,exonlist_sorted.chr6.chunk048.gz
6,exonlist_sorted.chr6.chunk049.gz
6,exonlist_sorted.chr6.chunk050.gz
6,exonlist_sorted.chr6.chunk051.gz
6,exonlist_sorted.chr6.chunk052.gz
7,exonlist_sorted.chr7.chunk000.gz
7,exonlist_sorted.chr7.chunk001.gz
7,exonlist_sorted.chr7.chunk002.gz
7,exonlist_sorted.chr7.chunk003.gz
7,exonlist_sorted.chr7.chunk004.gz
7,exonlist_sorted.chr7.chunk005.gz
7,exonlist_sorted.chr7.chunk006.gz
7,exonlist_sorted.chr7.chunk007.gz
7,exonlist_sorted.chr7.chunk008.gz
7,exonlist_sorted.chr7.chunk009.gz
7,exonlist_sorted.chr7.chunk010.gz
7,exonlist_sorted.chr7.chunk011.gz
7,exonlist_sorted.chr7.chunk012.gz
7,exonlist_sorted.chr7.chunk013.gz
7,exonlist_sorted.chr7.chunk014.gz
7,exonlist_sorted.chr7.chunk015.gz
7,exonlist_sorted.chr7.chunk016.gz
7,exonlist_sorted.chr7.chunk017.gz
7,exonlist_sorted.chr7.chunk018.gz
