step,protocol,dependencies
FastQC,protocols/FastQC.sh,
BwaAlignEnd1,protocols/BwaAlign.sh,bwaInput=srBarcodeFqGz;tmpBwaOutput=tmpLeftBwaOut;bwaOutput=leftBwaOut
SaiToSam,protocols/SaiToSam.sh,bwaInput=srBarcodeFqGz;BwaAlignEnd1;
SamToBam,protocols/SamToBam.sh,SaiToSam
SortBam,protocols/SortBam.sh,SamToBam;inputSortBam=alignedBam;
MergeBam,protocols/MergeBam.sh,SortBam;inputMergeBam=sortedBam;inputMergeBamIdx=sortedBamIdx;tmpMergedBam=tmpSampleMergedBam;tmpMergedBamIdx=tmpSampleMergedBamIdx;mergedBam=sampleMergedBam;mergedBamIdx=sampleMergedBamIdx
MarkDuplicates,protocols/MarkDuplicates.sh,MergeBam;
CollectBamMetrics,protocols/CollectBamMetrics.sh,MarkDuplicates;inputCollectBamMetricsBam=dedupBam;inputCollectBamMetricsBamIdx=dedupBamIdx;collectBamMetricsPrefix=collectMergedDedupBamMetricsPrefix;tmpCollectBamMetricsPrefix=tmpCollectMergedDedupBamMetricsPrefix
GenerateCovariateTablesBefore,protocols/GenerateCovariateTables.sh,CollectBamMetrics;MarkDuplicats;inputGenerateCovariateTablesBam=dedupBam;inputGenerateCovariateTablesBamIdx=dedupBamIdx;outputGenerateCovariateTablesTable=beforeRecalTable;tmpOutputGenerateCovariateTablesTable=tmpBeforeRecalTable;inputGenerateCovariateTablesTable=beforeRecalTable;inputRecal=recalBefore
GenerateCovariateTablesPost,protocols/GenerateCovariateTables.sh,GenerateCovariateTablesBefore;inputGenerateCovariateTablesBam=dedupBam;inputGenerateCovariateTablesBamIdx=dedupBamIdx;outputGenerateCovariateTablesTable=postRecalTable;tmpOutputGenerateCovariateTablesTable=tmpPostRecalTable;inputGenerateCovariateTablesTable=beforeRecalTable;inputRecal=recalPost
QualityScoreRecalibration,protocols/QualityScoreRecalibration.sh,GenerateCovariateTablesBefore
AnalyzeQualityScoreRecalibration,protocols/AnalyzeQualityScoreRecalibration.sh,GenerateCovariateTablesPost
CollectFinalBamMetrics,protocols/CollectBamMetrics.sh,QualityScoreRecalibration;inputCollectBamMetricsBam=BQSRBam;inputCollectBamMetricsBamIdx=BQSRBamIdx;collectBamMetricsPrefix=collectFinalBamMetricsPrefix;tmpCollectBamMetricsPrefix=tmpCollectFinalBamMetricsPrefix
CreateBinsForward,protocols/CreateBins.sh,MarkDuplicates;dedupBam=dedupBam;strand=forward;
CreateBinsReverse,protocols/CreateBins.sh,MarkDuplicates;dedupBam=dedupBam;strand=reverse;
IntermediateChi2CorrectionForward,protocols/IntermediateChi2Correction.sh,CreateBinsForward;binnedSample=forwardBins;strand=forward
IntermediateChi2CorrectionReverse,protocols/IntermediateChi2Correction.sh,CreateBinsReverse;binnedSample=reverseBins;strand=reverse
DetermineBestControlSet,protocols/DetermineBestControlSet.sh,IntermediateChi2CorrectionForward;IntermediateChi2CorrectionReverse;
ChiCorrectionForward,protocols/ChiCorrection.sh,DetermineBestControlSet;binnedSample=forwardBins;strand=forward;
ChiCorrectionReverse,protocols/ChiCorrection.sh,DetermineBestControlSet;binnedSample=reverseBins;strand=reverse;
DetermineBestPredictors13,protocols/DetermineBestPredictors.sh,ChiCorrectionForward;ChiCorrectionReverse;chromoFocus=chr13;
DetermineBestPredictors18,protocols/DetermineBestPredictors.sh,ChiCorrectionForward;ChiCorrectionReverse;chromoFocus=chr18;
DetermineBestPredictors21,protocols/DetermineBestPredictors.sh,ChiCorrectionForward;ChiCorrectionReverse;chromoFocus=chr21;
DetermineNCV13,protocols/DetermineNCV.sh,DetermineBestPredictors13;chromoFocus=chr13;
DetermineNCV18,protocols/DetermineNCV.sh,DetermineBestPredictors18;chromoFocus=chr18;
DetermineNCV21,protocols/DetermineNCV.sh,DetermineBestPredictors21;chromoFocus=chr21;
CalculatePPV,protocols/CalculatePPV.sh,DetermineNCV13;DetermineNCV18;DetermineNCV21;
CopyToResultsDir,protocols/CopyToResultsDir.sh,CalculatePPV;
