step,protocol,dependencies
s1a_1000GSelectFemales_no_auto,protocols/1000GSelectFemales.sh,chrX_1000G_phase1_refpanel_female_only_recode=chrX_1000G_no_auto_phase1_refpanel_female_only_recode;chrX_1000G_phase1_refpanel_Name=chrX_1000G_no_auto_phase1_refpanel_Name
s1b_1000GSelectFemales_auto,protocols/1000GSelectFemales.sh,chrX_1000G_phase1_refpanel_female_only_recode=chrX_1000G_auto_phase1_refpanel_female_only_recode;chrX_1000G_phase1_refpanel_Name=chrX_1000G_auto_phase1_refpanel_Name
s2_Liftover,protocols/Liftover.sh,
s3_LLSelectFemales,protocols/LLSelectFemales.sh,s2_Liftover
s3a_Tabix_no_auto,protocols/Tabix.sh,s1a_1000GSelectFemales_no_auto;chrX_1000G_phase1_refpanel_female_only_recode=chrX_1000G_no_auto_phase1_refpanel_female_only_recode
s3b_Tabix_auto,protocols/Tabix.sh,s1b_1000GSelectFemales_auto;chrX_1000G_phase1_refpanel_female_only_recode=chrX_1000G_auto_phase1_refpanel_female_only_recode
s5a_GenotypeHarmonizer_no_auto,protocols/GenotypeHarmonizer.sh,s3a_Tabix_no_auto;s3_LLSelectFemales;GIANT_workDir_GH_OutputDir=GIANT_workDir_GH_Output_no_autoDir;chrX_1000G_phase1_refpanel_female_only_recode=chrX_1000G_no_auto_phase1_refpanel_female_only_recode
s5b_GenotypeHarmonizer_auto,protocols/GenotypeHarmonizer.sh,s3b_Tabix_auto;s3_LLSelectFemales;GIANT_workDir_GH_OutputDir=GIANT_workDir_GH_Output_autoDir;chrX_1000G_phase1_refpanel_female_only_recode=chrX_1000G_auto_phase1_refpanel_female_only_recode
s6_ExcludeIncludeSNPs_no_auto,protocols/ExcludeIncludeSNPs.sh,s5a_GenotypeHarmonizer_no_auto;GIANT_workDir_GH_Output_Dir=GIANT_workDir_GH_Output_no_autoDir
s6_ExcludeIncludeSNPs_auto,protocols/ExcludeIncludeSNPs.sh,s5b_GenotypeHarmonizer_auto;GIANT_workDir_GH_Output_Dir=GIANT_workDir_GH_Output_autoDir
