CHR,chromosomeChunk
1,1:1-137965
1,1:1-140339
1,1:1-173862
1,1:11869-267253
1,1:89295-453948
1,1:135141-659930
1,1:137682-714006
1,1:139790-745541
1,1:141474-762902
1,1:227615-794826
1,1:317720-812283
1,1:536816-894689
1,1:700237-901095
1,1:714150-917497
1,1:761586-933431
1,1:762988-935552
1,1:803451-949920
1,1:879584-991496
1,1:895967-1004735
1,1:901877-1051741
1,1:931346-1079436
1,1:934342-1133315
1,1:948803-1142071
1,1:955503-1149518
1,1:995114-1167411
1,1:1017198-1170421
1,1:1072397-1182102
1,1:1109264-1186714
1,1:1138888-1209265
1,1:1146706-1215800
1,1:1152288-1227409
1,1:1167629-1260071
1,1:1177826-1264277
1,1:1185157-1284730
1,1:1189289-1297157
1,1:1210603-1310875
1,1:1215816-1334708
1,1:1227756-1342693
1,1:1260136-1345998
1,1:1266694-1357149
1,1:1288069-1405538
1,1:1309110-1433228
1,1:1321091-1470067
1,1:1334902-1475833
1,1:1344476-1510249
1,1:1353800-1511373
1,1:1385069-1535476
1,1:1407143-1565990
1,1:1447531-1590473
1,1:1470554-1624167
1,1:1477053-1633249
1,1:1510355-1677431
1,1:1533392-1711896
1,1:1549138-1822495
1,1:1567474-1848735
1,1:1590786-2144159
1,1:1631369-2241558
1,1:1634169-2323146
1,1:1682671-2345236
1,1:1716729-2436969
1,1:1846266-2458039
1,1:1981909-2478899
1,1:2160134-2496821
1,1:2252692-2515972
1,1:2323267-2564481
1,1:2357419-2718286
1,1:2439972-3355185
1,1:2477904-3528059
1,1:2481359-3541307
1,1:2512999-3546691
1,1:2517930-3663900
1,1:2567415-3692546
1,1:2985732-3713068
1,1:3406484-3773778
1,1:3539754-3801993
1,1:3541566-3816857
1,1:3547331-3833789
1,1:3689352-4852594
1,1:3696784-6161253
1,1:3728645-6240183
1,1:3773845-6296032
1,1:3805689-6321035
1,1:3816936-6454451
1,1:4714792-6580121
1,1:5922871-6614595
1,1:6161853-6649340
1,1:6241329-6684093
1,1:6307406-6761984
1,1:6324329-7829766
1,1:6484848-7841492
1,1:6581407-7913572
1,1:6640061-8000926
1,1:6650784-8045565
1,1:6684926-8086368
1,1:6845384-8404227
1,1:7831329-8877702
1,1:7844380-8939308
1,1:7979907-8954210
1,1:8014351-8967803
1,1:8064464-9035151
1,1:8377886-9148537
1,1:8412457-9189229
1,1:8921061-9331396
1,1:8953468-9429591
1,1:8967452-9645237
1,1:9005926-9674935
1,1:9095166-9884584
1,1:9160364-9970394
